
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/glass.txt 214 9 6
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/glass_constraints_0.1.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/glass_log_0.1.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  162|       -1|       0|        -inf|     1061.44|     0|       225|       5|      -3|      6307|      252      5000       8.4|     1071.46|    1071.46*|    -1     -1|   0.00935419|   0.00935419|     0|
|  161|        0|       1|     1061.44|     1061.85|     0|        60|       1|      -3|      6221|        5      5000         0|     1071.65|     1071.46|   123    132|   0.00897008|   0.00897008|     0|
|  162|        0|       2|     1061.44|      1061.8|     0|        75|       1|      -3|      6307|       18      5000         0|     1071.46|     1071.46|   123    132|   0.00901809|   0.00901809|     0|
|  161|        1|       3|     1061.85|     1062.21|     0|        72|       1|      -3|      6221|        8      5000         0|     1071.65|     1071.46|    85     90|    0.0086338|    0.0086338|     0|
|  162|        2|       4|      1061.8|     1062.16|     0|        74|       1|      -3|      6307|       22      5000         0|     1071.46|     1071.46|    66     90|   0.00868017|   0.00868017|     0|
|  161|        2|       5|      1061.8|     1067.44|     0|       151|       3|      -3|      7343|       14      4629         0|     1075.34|     1071.46|    66     90|     0.003748|     0.003748|     0|
|  161|        3|       6|     1062.21|     1062.54|     0|        85|       1|      -3|      6221|        3      5000         0|     1071.65|     1071.46|   122    123|   0.00832784|   0.00832784|     0|
|  161|        5|       7|     1067.44|     1067.56|     0|        92|       1|      -3|      7343|        0      3905         0|     1075.58|     1071.46|   114    119|   0.00364102|   0.00364102|     0|
|  160|        3|       8|     1062.21|     1064.57|     0|       194|       4|      -3|      4889|     1.25      2904         0|     1072.67|     1071.46|   122    123|   0.00643358|   0.00643358|     0|
|  160|        5|       9|     1067.44|     1071.97|     0|       107|       1|       2|      7301|       10      5000         0|     1075.34|     1071.46|   114    119| -0.000473821| -0.000473821|     0|
|  160|        1|      10|     1061.85|     1067.68|     0|       333|       7|      -3|      5383|  4.71429      2637         0|     1074.97|     1071.46|    85     90|   0.00352922|   0.00352922|     0|
|  162|        4|      11|     1062.16|     1064.14|     0|       222|       4|      -3|      4629|     2.25      3275         0|     1071.46|     1071.46|   122    131|   0.00683295|   0.00683295|     0|
|  161|        4|      12|     1062.16|     1064.87|     0|       235|       4|      -3|      5352|        6      3253         0|     1072.72|     1071.46|   122    131|    0.0061455|    0.0061455|     0|
|  160|        8|      13|     1064.57|     1064.67|     0|       111|       1|      -3|      4889|        0      1009         0|     1072.67|     1071.46|   115    120|   0.00633504|   0.00633504|     0|
|  160|       10|      14|     1067.68|     1067.79|     0|       110|       1|      -3|      5383|        0       982         0|     1075.77|     1071.46|   114    119|   0.00342274|   0.00342274|     0|
|  160|        6|      15|     1062.54|     1068.68|     0|       299|       4|      -3|      6786|     4.25      4086         0|     1073.77|     1071.46|   115    120|   0.00259135|   0.00259135|     0|
|  161|       12|      16|     1064.87|     1065.13|     0|       129|       1|      -3|      5352|        0      1729         0|     1072.72|     1071.46|   127    147|    0.0059092|    0.0059092|     0|
|  159|       10|      17|     1067.68|     1072.02|     0|       144|       1|       2|      8322|        6      5000         0|     1074.97|     1071.46|   114    119| -0.000520116| -0.000520116|     0|
|  161|        6|      18|     1062.54|     1064.31|     0|       323|       5|      -3|      4676|      1.6      2882         0|     1071.65|     1071.46|   115    120|   0.00667059|   0.00667059|     0|
