
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/hayes-roth.txt 160 4 3
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/hayes-roth_constraints_0.1.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/hayes-roth_log_0.1.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  121|       -1|       0|        -inf|     501.934|     0|        81|       7|      -3|      3845|  30.4286      2940         0|     514.687|    514.687*|    -1     -1|    0.0247781|    0.0247781|     0|
|  121|        0|       1|     501.934|     502.363|     0|        32|       3|      -3|      4097|        0   892.667         0|     513.385|    513.385*|    10     65|    0.0214704|    0.0214704|     0|
|  120|        0|       2|     501.934|     503.894|     0|        33|       3|      -3|      4011|        0   1376.33         0|     519.377|     513.385|    10     65|    0.0184877|    0.0184877|     0|
|  119|        2|       3|     503.894|     505.867|     0|        35|       3|      -3|      3960|        0   1393.67         0|     520.795|     513.385|     5    119|    0.0146437|    0.0146437|     0|
|  120|        2|       4|     503.894|     504.355|     0|        36|       3|      -3|      4168|        0   921.333         0|     518.042|     513.385|     5    119|    0.0175902|    0.0175902|     0|
|  121|        1|       5|     502.363|     502.697|     0|        46|       4|       3|      3665|        0       764         0|     512.848|    512.848*|    78     87|    0.0197937|    0.0197937|     0|
|  120|        1|       6|     502.363|     504.518|     0|        72|       7|      -3|      3607|        0   1050.14         0|     518.102|     512.848|    78     87|    0.0162436|    0.0162436|     0|
|  120|        4|       7|     504.355|     504.469|     0|        25|       1|      -3|      4168|        0       805         0|     518.042|     512.848|    73    118|     0.016339|     0.016339|     0|
|  121|        5|       8|     502.697|     503.024|     0|        28|       1|      -3|      3665|        0      1826         0|     512.848|     512.848|    93    120|     0.019157|     0.019157|     0|
|  119|        3|       9|     505.867|     506.225|     0|        43|       3|      -3|      3820|        0   910.333         0|     520.158|     512.848|     5     92|    0.0129154|    0.0129154|     0|
|  119|        4|      10|     504.355|     505.306|     0|        51|       3|      -3|      4020|  1.33333   1314.33         0|     521.917|     512.848|    73    118|    0.0147062|    0.0147062|     0|
|  118|        3|      11|     505.867|     508.161|     0|        70|       3|      -3|      3839| 0.333333      1560         0|     523.285|     512.848|     5     92|   0.00913903|   0.00913903|     0|
|  120|        6|      12|     504.518|     504.825|     0|        34|       1|      -3|      3607|        0      1333         0|     518.102|     512.848|    65    119|    0.0156455|    0.0156455|     0|
|  120|        5|      13|     502.697|     504.934|     0|        73|       4|      -3|      3914|     0.75    1380.5         0|     515.873|     512.848|    93    120|     0.015433|     0.015433|     0|
|  119|        6|      14|     504.518|     507.865|     0|        75|       3|      -3|      4377|  1.66667   2255.67         0|     522.109|     512.848|    65    119|   0.00971672|   0.00971672|     0|
