
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/movement_libras.txt 360 90 15
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/movement_libras_constraints_0.15.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/movement_libras_log_0.15.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  248|       -1|       0|        -inf|     14859.2|     0|       367|       7|      -3|      2884|  80.7143      2912  0.142857|     15256.4|    15256.4*|    -1     -1|    0.0260392|    0.0260392|     0|
|  248|        0|       1|     14859.2|     14866.6|     0|       134|       2|      -3|      4269|        2    1048.5         0|     15256.4|     15256.4|    92     99|    0.0255502|    0.0255502|     0|
|  247|        0|       2|     14859.2|     14886.9|     0|       207|       3|      -3|      3311|  2.66667      1431         0|     15343.5|     15256.4|    92     99|    0.0242244|    0.0242244|     0|
|  247|        1|       3|     14866.6|     14876.6|     0|       113|       1|      -3|      4178|        3      1715         0|     15352.8|     15256.4|   122    129|    0.0248945|    0.0248945|     0|
|  248|        1|       4|     14866.6|     14872.5|     0|       164|       2|      -3|      3510|        0     512.5         0|     15256.4|     15256.4|   122    129|    0.0251663|    0.0251663|     0|
|  246|        3|       5|     14876.6|     14895.7|     0|       191|       3|      -3|      3364| 0.333333   1013.67         0|     15394.9|     15256.4|   122    129|    0.0236445|    0.0236445|     0|
|  247|        2|       6|     14886.9|     14894.6|     0|       296|       4|      -3|      2749|     0.25     330.5         0|     15341.7|     15256.4|    92    225|    0.0237165|    0.0237165|     0|
|  247|        3|       7|     14876.6|     14883.6|     0|       227|       3|      -3|      3450|  1.66667   1015.67         0|     15342.2|     15256.4|   122    129|    0.0244383|    0.0244383|     0|
|  247|        4|       8|     14872.5|       14894|     0|       220|       2|      -3|      4554|      1.5      1537         0|     15416.7|     15256.4|    58     74|    0.0237563|    0.0237563|     0|
|  246|        2|       9|     14886.9|     14901.2|     0|       347|       5|      -3|      3723|        1     616.6         0|       15315|     15256.4|    92    225|    0.0232874|    0.0232874|     0|
|  248|        4|      10|     14872.5|     14877.1|     0|       355|       5|      -3|      3608|      1.4       668         0|     15250.5|    15250.5*|    58     74|    0.0244821|    0.0244821|     0|
|  246|        9|      11|     14901.2|       14905|     0|       144|       1|      -3|      3723|        0       445         0|     15380.1|     15250.5|   159    241|    0.0226511|    0.0226511|     0|
|  246|        5|      12|     14895.7|     14898.5|     0|       281|       2|      -3|      3070|        0       403         0|     15357.8|     15250.5|    95     97|    0.0230805|    0.0230805|     0|
|  247|        7|      13|     14883.6|     14887.9|     0|       289|       3|      -3|      2647|        0   181.333         0|     15342.2|     15250.5|    58     74|    0.0237768|    0.0237768|     0|
|  246|        7|      14|     14883.6|     14905.2|     0|       307|       2|      -3|      4602|        2      1431         0|     15486.6|     15250.5|    58     74|    0.0226424|    0.0226424|     0|
|  247|        6|      15|     14894.6|     14901.7|     0|       351|       3|      -3|      2987|        0       515         0|     15341.7|     15250.5|   221    226|      0.02287|      0.02287|     0|
|  245|        9|      16|     14901.2|     14917.6|     0|       299|       2|      -3|      4054|        0       373         0|     15284.5|     15250.5|   159    241|    0.0218273|      0.02287|     1|
|  245|        5|      17|     14895.7|       14901|     0|       390|       3|       3|      4266|  3.66667      1380         0|     15394.9|     15250.5|    95     97|    0.0229164|    0.0218273|     2|
|  246|       11|      18|       14905|     14908.6|     0|       219|       1|      -3|      3723|        0       602         0|     15407.6|     15250.5|    26    214|    0.0224137|    0.0229164|     3|
|  247|       10|      19|     14877.1|     14884.2|     0|       325|       2|      -3|      3734|        1       797         0|     15540.3|     15250.5|    42    191|    0.0240189|    0.0224137|     4|
|  248|       10|      20|     14877.1|     14880.4|     0|       394|       3|      -3|      2747|        0       270         0|     15250.5|     15250.5|    42    191|     0.024265|    0.0240189|     5|
|  246|       12|      21|     14898.5|     14900.7|     0|       241|       1|      -3|      3070|        0       294         0|     15357.8|     15250.5|    26     69|    0.0229318|     0.024265|     6|
|  246|        8|      22|       14894|     14913.6|     0|       560|       4|      -3|      3755|     0.75    793.75         0|     15419.1|     15250.5|     8     58|    0.0220899|    0.0240189|     7|
|  245|       11|      23|       14905|     14928.1|     0|       369|       2|      -3|      5531|        2      1396         0|     15380.1|     15250.5|    26    214|      0.02114|    0.0229318|     8|
|  247|       15|      24|     14901.7|     14905.3|     0|       278|       1|      -3|      2987|        0       337         0|     15381.4|     15250.5|    26    214|    0.0226318|    0.0229318|     9|
|  246|       13|      25|     14887.9|     14898.4|     0|       303|       2|      -3|      3023|        0     430.5         0|     15373.1|     15250.5|     8    142|    0.0230883|    0.0226318|    10|
|  246|        6|      26|     14894.6|     14904.1|     0|       705|       4|      -3|      4693|     4.75    1565.5         0|     15333.7|     15250.5|   221    226|    0.0227131|    0.0230883|    11|
|  247|       13|      27|     14887.9|     14891.6|     0|       402|       3|      -3|      2594|        0   128.333         0|     15308.9|     15250.5|     8    142|    0.0235294|    0.0227131|    12|
