
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/tae.txt 151 5 3
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/tae_constraints_0.1.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/tae_log_0.1.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  111|       -1|       0|        -inf|     590.731|     0|       291|      10|      -3|      2554|     55.9      2861       3.3|     595.434|    595.434*|    -1     -1|   0.00789891|   0.00789891|     0|
|  111|        0|       1|     590.731|     591.112|     0|       102|       5|      -3|      2431|        0     593.4         0|     595.434|     595.434|    70     73|   0.00725854|   0.00725854|     0|
|  110|        0|       2|     590.731|     591.246|     0|       139|       6|      -3|      2550|        0   1075.33         0|     595.497|     595.434|    70     73|   0.00703357|   0.00703357|     0|
|  110|        2|       3|     591.246|     591.695|     0|        76|       3|      -3|      3172|        0       883         0|     595.497|     595.434|    73    103|   0.00627965|   0.00627965|     0|
|  111|        1|       4|     591.112|      591.46|     0|       127|       6|      -3|      2464|        0   686.833         0|     595.434|     595.434|    14     17|   0.00667486|   0.00667486|     0|
|  110|        1|       5|     591.112|     591.556|     0|       143|       2|      -3|      6819|        6      2702         0|     594.951|    594.951*|    14     17|   0.00570633|   0.00570633|     0|
|  109|        2|       6|     591.246|     592.439|     0|       173|       7|      -3|      2541| 0.142857      1724         0|     597.224|     594.951|    73    103|   0.00422239|   0.00422239|     0|
|  110|        3|       7|     591.695|     592.081|     0|        76|       2|      -3|      3817|        0    1403.5         0|     595.497|     594.951|     3      6|   0.00482314|   0.00482314|     0|
|  111|        4|       8|      591.46|     591.868|     0|       149|       4|      -3|      2746|        0   1168.25         0|     595.434|     594.951|     3      6|   0.00518105|   0.00518105|     0|
|  110|        4|       9|      591.46|     593.298|     0|       163|       5|       3|      2360|        0      1731         0|     596.269|     594.951|     3      6|   0.00277794|   0.00277794|     0|
